,iso_date,pernoc_total,viajeros_total,estancia_media_total
0,2017-01-01,5147607,2292273,2.463325482047312
1,2017-02-01,5945256,2604301,2.466576064180906
2,2017-03-01,8199455,3259584,2.7218591899869855
3,2017-04-01,12146239,4229618,2.926874719654241
4,2017-05-01,16967220,5140287,2.964515097338445
5,2017-06-01,19987190,5498095,3.164052326903253
6,2017-07-01,22719573,5882768,3.3801653246443957
7,2017-08-01,23259572,5716968,3.5269921258583063
8,2017-09-01,19773503,5399136,3.236358355929893
9,2017-10-01,15222915,4587734,3.0909205195963625
10,2017-11-01,6324629,2754609,2.519254056760754
11,2017-12-01,5583945,2551740,2.344438681043875
12,2018-01-01,5356750,2382234,2.3903892694610005
13,2018-02-01,6161793,2696883,2.477376773557772
14,2018-03-01,8698322,3447914,2.7412407614770933
15,2018-04-01,11384618,4063365,2.8668344969094854
16,2018-05-01,17242375,5274706,2.945705041446775
17,2018-06-01,19754905,5703535,3.029650136315695
18,2018-07-01,22493237,5872289,3.3488770671084462
19,2018-08-01,23148149,5779153,3.466356501164125
20,2018-09-01,19784255,5509696,3.1859182469296283
21,2018-10-01,15475091,4799941,3.0460013817856564
22,2018-11-01,6798428,2984595,2.50587786771748
23,2018-12-01,6066233,2724951,2.343201231792422
24,2019-01-01,5577353,2469066,2.3635375109901084
25,2019-02-01,6332807,2813125,2.4263915580672575
26,2019-03-01,8789249,3545023,2.6557442927526433
27,2019-04-01,12249085,4355689,2.835844013269142
28,2019-05-01,17135119,5472505,2.864194512160385
29,2019-06-01,20258331,5884455,3.0517290193346254
30,2019-07-01,22811432,6070177,3.318270908380839
31,2019-08-01,23708363,6090406,3.390838314755924
32,2019-09-01,19799529,5524963,3.1693031868413644
33,2019-10-01,15445921,4907027,2.9916323231858244
34,2019-11-01,7030180,3131105,2.3884142009259923
35,2019-12-01,6182988,2799928,2.32356109186853
36,2020-01-01,5877240,2638665,2.3503414833121936
37,2020-02-01,6611984,2926599,2.4068376811557277
38,2020-03-01,3048964,1165397,2.723445726734245
39,2020-04-01,0,0,
40,2020-05-01,86751,36085,2.4401600757801973
41,2020-06-01,736774,346264,2.114437608484504
42,2020-07-01,4719627,1593525,2.6761151044267284
43,2020-08-01,6146076,1993158,2.772072922490915
44,2020-09-01,2783010,1186333,2.342088921257425
45,2020-10-01,1644089,798121,2.074190985437872
46,2020-11-01,981547,503971,1.9322747891797272
47,2020-12-01,1120166,618230,1.8120130145709759
48,2021-01-01,1016177,529680,1.9357728889729573
49,2021-02-01,1058961,564904,1.843253832129337
50,2021-03-01,1492886,783197,1.946987404249013
51,2021-04-01,1791357,862706,2.1305552177497797
52,2021-05-01,3487902,1534524,2.238110385129479
53,2021-06-01,6725432,2496060,2.4838449173968207
54,2021-07-01,12576950,3658332,2.9531934666629747
55,2021-08-01,15513499,4221346,3.20945956609533
56,2021-09-01,12194747,3640619,2.9774689488892627
57,2021-10-01,11015472,3645269,2.8384596099313066
58,2021-11-01,5377404,2354031,2.422376938531286
59,2021-12-01,4668040,2126114,2.2516699394790387
60,2022-01-01,3623422,1641242,2.2708644322907254
61,2022-02-01,5011986,2248751,2.314851798492035
62,2022-03-01,6952427,2804765,2.5901594016015035
63,2022-04-01,11342618,4009159,2.7952586215356336
64,2022-05-01,15770769,5084432,2.8247175049183815
65,2022-06-01,19147402,5667696,2.9330092087121633
66,2022-07-01,22037338,6037750,3.1471324915057854
67,2022-08-01,23035577,6013530,3.317180505544148
68,2022-09-01,18799242,5527405,3.0034135580135835
69,2022-10-01,14891921,4856116,2.8621712697258794
70,2022-11-01,6633460,2901447,2.4603497110269936
71,2022-12-01,5949215,2699035,2.3107771003603683
72,2023-01-01,5588936,2520430,2.3249089453557668
73,2023-02-01,6333593,2729839,2.450888938207718
74,2023-03-01,8423020,3508955,2.5543346611902527
75,2023-04-01,13002788,4647610,2.75516101685018
76,2023-05-01,17484381,5609345,2.836248653308443
77,2023-06-01,19687818,6051931,2.8882627245431047
78,2023-07-01,22795752,6353561,3.1470559347391642
79,2023-08-01,23871659,6347356,3.27679391871839
80,2023-09-01,20060775,5855056,3.047187424087486
81,2023-10-01,16585466,5231801,2.9338644137229397
82,2023-11-01,7335593,3180439,2.469537499342817
83,2023-12-01,6611024,2974058,2.3276147544780157
84,2024-01-01,5906900,2631739,2.328410402170732
85,2024-02-01,7157770,3035044,2.4952891220899103
86,2024-03-01,10229851,3913564,2.7318508696499757
87,2024-04-01,12884364,4615016,2.7788299596211457
88,2024-05-01,19338340,6153535,2.8578262901575227
89,2024-06-01,20668047,6184224,2.9616041291095625
90,2024-07-01,23360026,6443203,3.2001520137043706
91,2024-08-01,24398356,6525412,3.2635861357257028
92,2024-09-01,20580037,5891654,3.134553647161226
93,2024-10-01,17465589,5482225,2.9466425919601638
94,2024-11-01,7488212,3241974,2.462561644110367
95,2024-12-01,6556868,2933341,2.3245050498363478
