pais_origen,viajeros,estancia_media
Alemania,7656443.0,5.621918938711755
América (sin EEUU),4725292.0,2.38408729795142
Asia (sin Japón),0.0,
Austria,586582.0,4.098349364395465
Bélgica,1538185.0,4.448071360649731
Dinamarca,621969.0,4.953069719750654
Estados Unidos de América,4523050.0,2.4130444961341015
Finlandia,377570.0,5.114521091434019
Francia,6551945.0,2.930074750118824
Grecia,173551.0,2.870613479136503
Irlanda,1535359.0,4.770381570669012
Italia,3465212.0,3.005464484643793
Japón,399188.0,2.015666559303656
Luxemburgo,103886.0,4.903984044495568
Noruega,575061.0,5.3396824050324625
Otros Países Europeos,1924296.0,3.269452731043374
Países Bajos,2595183.0,4.287648293995545
Polonia,1388242.0,4.507417311502705
Portugal,2152252.0,2.4997784984970166
Reino Unido,11327774.0,5.345595812672166
República Checa,392962.0,4.234933468396187
Residentes en España,54319372.0,2.2003465439499594
Residentes en el Extranjero,61846788.0,3.8612925068878465
Resto de la U.E.,1812267.0,3.4230377976148163
Resto del Mundo,3413578.0,2.318560330276929
Rusia,0.0,
Suecia,864328.0,4.8570759824212315
Suiza,1107920.0,3.8533610529658104
Total,116166159.0,3.065042637371065
UE27_2020 sin España,31815931.0,4.099234654915002
UE28 sin España,43143705.0,4.4200268992321705
África,906977.0,2.595830939133329
