,provincia_simp,origen,viajeros
24,Barcelona,pais_vasco,122410.3941
20,Barcelona,valencia,207743.6631
19,Barcelona,andalucia,222947.1571
6,Barcelona,madrid,737873.5392
1,Barcelona,cataluña,1492945.8117
34,Girona,andalucia,29689.6333
33,Girona,pais_vasco,36740.7343
32,Girona,valencia,49563.2376
25,Girona,madrid,111421.1395
2,Girona,cataluña,1350140.675
26,Illes Balears,valencia,109369.2887
22,Illes Balears,andalucia,136837.2243
16,Illes Balears,cataluña,236115.2551
15,Illes Balears,madrid,291422.547
10,Illes Balears,balears,559133.4065
14,Madrid,galicia,324362.5365
8,Madrid,valencia,589197.7479
5,Madrid,cataluña,904932.1536
4,Madrid,andalucia,915035.6871
0,Madrid,madrid,1677174.3033
31,Málaga,castilla_mancha,66521.20360000001
29,Málaga,valencia,70529.54860000001
21,Málaga,cataluña,146028.5055
12,Málaga,madrid,397946.5972
3,Málaga,andalucia,1155910.3316
30,Sevilla,extremadura,70005.14289999999
28,Sevilla,valencia,80601.0594
23,Sevilla,cataluña,131540.6189
13,Sevilla,madrid,355794.4089
7,Sevilla,andalucia,719325.1178
27,Valencia,castilla_mancha,106718.04490000001
18,Valencia,cataluña,230901.4275
17,Valencia,andalucia,234980.9386
11,Valencia,valencia,463005.5785
9,Valencia,madrid,562860.5476
