periodo;pais_origen;viajeros;pernoctaciones
2024M12;Total;6561380;18025526
2024M12;Residentes en España;3645324;7206683
2024M12;Residentes en el Extranjero;2916057;10818842
2024M12;Alemania;286033;1762158
2024M12;Austria;22084;94783
2024M12;Bélgica;71327;346465
2024M12;Dinamarca;30906;169332
2024M12;Finlandia;31260;209200
2024M12;Francia;283608;699522
2024M12;Grecia;11443;35434
2024M12;Irlanda;56356;269896
2024M12;Italia;195361;532534
2024M12;Luxemburgo;5524;27633
2024M12;Países Bajos;103511;424135
2024M12;Polonia;59297;253198
2024M12;Portugal;128922;231359
2024M12;República Checa;13713;53328
2024M12;Suecia;54564;318886
2024M12;Resto de la U.E.;89661;272833
2024M12;Noruega;31965;192640
2024M12;Reino Unido;452151;2483982
2024M12;Rusia;;
2024M12;Suiza;45653;158354
2024M12;Otros Países Europeos;103104;307922
2024M12;África;68028;184751
2024M12;UE28 sin España;1895720;8184678
2024M12;UE27_2020 sin España;1443569;5700696
2024M12;Resto del Mundo;205318;482345
2024M12;América (sin EEUU);259055;597401
2024M12;Estados Unidos de América;197039;488580
2024M12;Japón;32495;66849
2024M12;Asia (sin Japón);;
2024M11;Total;7152418;19978052
2024M11;Residentes en España;3755355;7578414
2024M11;Residentes en el Extranjero;3397063;12399638
2024M11;Alemania;344910;2059727
2024M11;Austria;28319;120820
2024M11;Bélgica;80144;354049
2024M11;Dinamarca;42145;214629
2024M11;Finlandia;41032;256344
2024M11;Francia;294221;739763
2024M11;Grecia;13330;37005
2024M11;Irlanda;70939;326619
2024M11;Italia;196093;546979
2024M11;Luxemburgo;5689;28405
2024M11;Países Bajos;126210;509889
2024M11;Polonia;74431;280421
2024M11;Portugal;108576;217299
2024M11;República Checa;19004;67874
2024M11;Suecia;70750;389653
2024M11;Resto de la U.E.;105311;314682
2024M11;Noruega;43217;273069
2024M11;Reino Unido;544599;2800713
2024M11;Rusia;;
2024M11;Suiza;50541;189233
2024M11;Otros Países Europeos;117910;338473
2024M11;África;58695;158898
2024M11;UE28 sin España;2165701;9264872
2024M11;UE27_2020 sin España;1621102;6464159
2024M11;Resto del Mundo;243834;547110
2024M11;América (sin EEUU);310273;726792
2024M11;Estados Unidos de América;282624;679941
2024M11;Japón;31748;62103
2024M11;Asia (sin Japón);;
2024M10;Total;10757739;33836772
2024M10;Residentes en España;4523969;9614409
2024M10;Residentes en el Extranjero;6233770;24222363
2024M10;Alemania;893847;4990492
2024M10;Austria;61734;228695
2024M10;Bélgica;140450;667351
2024M10;Dinamarca;67730;342420
2024M10;Finlandia;46880;229977
2024M10;Francia;664619;1974407
2024M10;Grecia;14305;40204
2024M10;Irlanda;155568;721429
2024M10;Italia;282888;756382
2024M10;Luxemburgo;8952;41671
2024M10;Países Bajos;244099;1073474
2024M10;Polonia;124390;519815
2024M10;Portugal;149707;352814
2024M10;República Checa;39506;169577
2024M10;Suecia;94802;429052
2024M10;Resto de la U.E.;175192;589881
2024M10;Noruega;66360;334131
2024M10;Reino Unido;1112550;6112425
2024M10;Rusia;;
2024M10;Suiza;139479;576866
2024M10;Otros Países Europeos;182121;580408
2024M10;África;73462;187527
2024M10;UE28 sin España;4277218;19240066
2024M10;UE27_2020 sin España;3164669;13127641
2024M10;Resto del Mundo;335723;741023
2024M10;América (sin EEUU);503613;1151690
2024M10;Estados Unidos de América;495221;1126877
2024M10;Japón;38081;72687
2024M10;Asia (sin Japón);;
2024M09;Total;11753507;38965938
2024M09;Residentes en España;4991258;11754777
2024M09;Residentes en el Extranjero;6762248;27211161
2024M09;Alemania;919461;5060994
2024M09;Austria;61503;252528
2024M09;Bélgica;165428;765868
2024M09;Dinamarca;61810;265161
2024M09;Finlandia;25424;103152
2024M09;Francia;631226;2025526
2024M09;Grecia;14762;39821
2024M09;Irlanda;190473;887047
2024M09;Italia;320475;1033443
2024M09;Luxemburgo;11936;65117
2024M09;Países Bajos;288054;1322227
2024M09;Polonia;161560;806570
2024M09;Portugal;233122;791923
2024M09;República Checa;50572;249027
2024M09;Suecia;70856;289411
2024M09;Resto de la U.E.;185119;728955
2024M09;Noruega;52748;225980
2024M09;Reino Unido;1345502;7272079
2024M09;Rusia;;
2024M09;Suiza;137166;544148
2024M09;Otros Países Europeos;205356;769960
2024M09;África;83095;221882
2024M09;UE28 sin España;4737284;21958849
2024M09;UE27_2020 sin España;3391782;14686770
2024M09;Resto del Mundo;349119;814550
2024M09;América (sin EEUU);539247;1231176
2024M09;Estados Unidos de América;514136;1176953
2024M09;Japón;38963;80798
2024M09;Asia (sin Japón);;
2024M08;Total;13622908;47760600
2024M08;Residentes en España;6363350;17310199
2024M08;Residentes en el Extranjero;7259558;30450401
2024M08;Alemania;847500;4762987
2024M08;Austria;65153;288816
2024M08;Bélgica;186469;779611
2024M08;Dinamarca;46967;242740
2024M08;Finlandia;12701;48713
2024M08;Francia;1068792;3672995
2024M08;Grecia;16824;47355
2024M08;Irlanda;158716;841733
2024M08;Italia;547898;1976847
2024M08;Luxemburgo;15557;71971
2024M08;Países Bajos;334802;1595899
2024M08;Polonia;157683;854384
2024M08;Portugal;387598;1340439
2024M08;República Checa;44805;226512
2024M08;Suecia;63077;292734
2024M08;Resto de la U.E.;210139;841897
2024M08;Noruega;33623;169840
2024M08;Reino Unido;1333270;7664524
2024M08;Rusia;;
2024M08;Suiza;98422;441191
2024M08;Otros Países Europeos;206026;768201
2024M08;África;142567;402719
2024M08;UE28 sin España;5497950;25550159
2024M08;UE27_2020 sin España;4164680;17885634
2024M08;Resto del Mundo;312168;838069
2024M08;América (sin EEUU);459857;1110025
2024M08;Estados Unidos de América;390344;936141
2024M08;Japón;33221;67038
2024M08;Asia (sin Japón);;
2024M07;Total;12692328;43918939
2024M07;Residentes en España;5756518;14743902
2024M07;Residentes en el Extranjero;6935810;29175038
2024M07;Alemania;832821;4634009
2024M07;Austria;65281;287432
2024M07;Bélgica;235295;1002153
2024M07;Dinamarca;84763;418355
2024M07;Finlandia;22360;84936
2024M07;Francia;725973;2434299
2024M07;Grecia;15331;46679
2024M07;Irlanda;167416;928180
2024M07;Italia;367301;1292013
2024M07;Luxemburgo;9420;41968
2024M07;Países Bajos;340058;1531236
2024M07;Polonia;157004;867696
2024M07;Portugal;254474;857672
2024M07;República Checa;50290;284236
2024M07;Suecia;89840;388025
2024M07;Resto de la U.E.;196822;813305
2024M07;Noruega;71165;371003
2024M07;Reino Unido;1311285;7466689
2024M07;Rusia;;
2024M07;Suiza;152258;689153
2024M07;Otros Países Europeos;220230;848980
2024M07;África;113276;294009
2024M07;UE28 sin España;4925734;23378883
2024M07;UE27_2020 sin España;3614448;15912194
2024M07;Resto del Mundo;331313;905151
2024M07;América (sin EEUU);508140;1239501
2024M07;Estados Unidos de América;489061;1204142
2024M07;Japón;27217;56999
2024M07;Asia (sin Japón);;
2024M06;Total;11865112;38185201
2024M06;Residentes en España;5419681;12347782
2024M06;Residentes en el Extranjero;6445432;25837418
2024M06;Alemania;835373;4495932
2024M06;Austria;60029;239892
2024M06;Bélgica;134241;593618
2024M06;Dinamarca;44292;183623
2024M06;Finlandia;24407;94121
2024M06;Francia;552932;1738308
2024M06;Grecia;16372;44327
2024M06;Irlanda;180968;924775
2024M06;Italia;325633;1006385
2024M06;Luxemburgo;8911;40071
2024M06;Países Bajos;263909;1192836
2024M06;Polonia;153981;817385
2024M06;Portugal;228972;673196
2024M06;República Checa;48729;246586
2024M06;Suecia;77030;336816
2024M06;Resto de la U.E.;186974;694329
2024M06;Noruega;48793;224055
2024M06;Reino Unido;1365862;7538958
2024M06;Rusia;;
2024M06;Suiza;110522;417611
2024M06;Otros Países Europeos;197907;694017
2024M06;África;74715;185544
2024M06;UE28 sin España;4508616;20861157
2024M06;UE27_2020 sin España;3142754;13322200
2024M06;Resto del Mundo;330668;782651
2024M06;América (sin EEUU);457393;1078862
2024M06;Estados Unidos de América;571681;1334877
2024M06;Japón;37250;71862
2024M06;Asia (sin Japón);;
2024M05;Total;11768411;35701080
2024M05;Residentes en España;4928517;10623796
2024M05;Residentes en el Extranjero;6839894;25077285
2024M05;Alemania;938592;4679079
2024M05;Austria;77343;275395
2024M05;Bélgica;152758;669474
2024M05;Dinamarca;54953;224753
2024M05;Finlandia;28980;119642
2024M05;Francia;807894;2408540
2024M05;Grecia;16915;45805
2024M05;Irlanda;187539;834469
2024M05;Italia;318920;870893
2024M05;Luxemburgo;11642;52960
2024M05;Países Bajos;294016;1317658
2024M05;Polonia;147440;635901
2024M05;Portugal;163039;368470
2024M05;República Checa;37660;143096
2024M05;Suecia;76343;313346
2024M05;Resto de la U.E.;181732;604591
2024M05;Noruega;46066;195409
2024M05;Reino Unido;1362521;6727915
2024M05;Rusia;;
2024M05;Suiza;117609;416899
2024M05;Otros Países Europeos;184333;573307
2024M05;África;71841;175594
2024M05;UE28 sin España;4858287;20291987
2024M05;UE27_2020 sin España;3495766;13564072
2024M05;Resto del Mundo;359002;765034
2024M05;América (sin EEUU);505456;1154750
2024M05;Estados Unidos de América;548908;1235243
2024M05;Japón;37934;73489
2024M05;Asia (sin Japón);;
2024M04;Total;9386103;27099375
2024M04;Residentes en España;4181084;8884448
2024M04;Residentes en el Extranjero;5205019;18214927
2024M04;Alemania;638213;3173927
2024M04;Austria;52790;180398
2024M04;Bélgica;136465;567835
2024M04;Dinamarca;48251;211984
2024M04;Finlandia;31247;153349
2024M04;Francia;629551;1810575
2024M04;Grecia;15092;39844
2024M04;Irlanda;136786;555977
2024M04;Italia;302203;815504
2024M04;Luxemburgo;11021;51774
2024M04;Países Bajos;218788;800419
2024M04;Polonia;112932;415012
2024M04;Portugal;177491;414060
2024M04;República Checa;31040;103079
2024M04;Suecia;71704;319171
2024M04;Resto de la U.E.;160365;497421
