periodos,zona,viajeros_nacional,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla,pernoc_total_nacional,pernoc_andalucia,pernoc_aragon,pernoc_asturias,pernoc_balears,pernoc_canarias,pernoc_cantabria,pernoc_castilla_leon,pernoc_castilla_mancha,pernoc_cataluña,pernoc_valencia,pernoc_extremadura,pernoc_galicia,pernoc_madrid,pernoc_murcia,pernoc_navarra,pernoc_paisvasco,pernoc_rioja,pernoc_ceuta,pernoc_melilla
2024M12,29 Málaga,100,59.49,0.83,0.87,2.57,1.33,0.58,2.17,2.77,4.29,3.36,1.55,1.52,12.35,2.2,0.32,1.66,0.17,1.45,0.54,100,51.5,1.1,1.12,3.02,1.43,0.68,3.37,3.01,4.82,3.44,1.86,2.02,14.89,2.01,0.58,3,0.26,1.4,0.47
2024M12,41 Sevilla,100,43.92,1.34,1.03,1.68,2.25,0.84,4.36,3.81,6.4,5.08,5.37,1.69,16.44,2.47,0.78,1.41,0.45,0.56,0.12,100,36.78,1.5,1.13,2.04,2.83,1.02,5.47,4.02,7.37,5.81,4.5,3.66,17.22,2.76,0.97,1.82,0.48,0.51,0.12
2024M12,"07 Balears, Illes",100,5.25,0.61,0.45,47.74,0.77,0.17,1.18,0.75,14.42,6.32,0.47,1.16,17.59,0.88,0.19,1.37,0.1,0.56,0.02,100,4.48,0.72,0.67,52.22,0.67,0.18,1.22,0.69,12.28,6.63,0.34,1.75,14.99,0.84,0.49,1.31,0.14,0.34,0.05
2024M12,08 Barcelona,100,6.48,2.92,0.75,2.85,1.62,0.54,1.89,1.42,42.06,6.82,0.79,2.51,23.36,0.98,0.87,3.08,0.61,0.4,0.04,100,6.97,2.66,0.83,2.8,1.76,0.59,2.05,1.53,42.11,6.54,0.77,2.9,21.87,1.02,1.1,3.44,0.64,0.4,0.03
2024M12,17 Girona,100,2.01,0.89,0.21,1.52,0.26,0.31,0.36,0.41,84.06,2.99,0.16,0.6,5.12,0.29,0.12,0.59,0.04,0.05,0,100,1.82,0.92,0.24,1.86,0.55,0.26,0.54,0.38,82.04,2.97,0.19,1.3,5.28,0.78,0.12,0.67,0.03,0.05,0
2024M12,46 Valencia/València,100,12,2.68,0.76,2.55,1.38,0.46,2.41,3.3,14.19,30.1,0.66,1.46,19.85,4.44,0.6,2.52,0.27,0.33,0.04,100,13.45,2.43,1.38,2.6,1.89,0.77,3.71,3.87,12.91,25.91,0.84,2.63,19.46,4.2,0.71,2.51,0.3,0.4,0.04
2024M12,28 Madrid,100,14.6,2.51,2.96,2.66,3.75,2,5.68,4.05,11.78,9.86,2.71,4.63,22.3,3.01,1.69,4.3,1,0.42,0.11,100,16.06,2.45,2.84,2.78,4.42,2.02,4.77,3.43,11.48,9.64,2.48,4.54,22.84,2.74,1.68,4.42,0.84,0.42,0.14
2024M11,29 Málaga,100,50.45,0.63,0.68,2.36,1.22,0.41,1.39,2.28,8.23,3.12,1.17,2.15,19.41,1.85,0.39,1.92,0.21,1.01,1.11,100,47.25,0.86,0.9,3.68,1.31,0.86,1.96,2.55,7.44,3.36,1.39,2.36,18.56,2.01,0.47,2.73,0.33,1.01,0.95
2024M11,41 Sevilla,100,38.52,1.64,1.27,1.84,1.82,1.3,3.64,3.14,7.68,3.8,4.02,2.7,23.48,1.57,0.64,1.73,0.64,0.51,0.06,100,34.05,1.81,1.39,2.14,2.3,1.29,4.08,3.36,8.17,4.03,3.59,4.4,23.57,1.64,0.8,2.13,0.72,0.44,0.07
2024M11,"07 Balears, Illes",100,4.73,0.69,0.71,39.01,1.99,0.28,2.17,1.86,14.77,7.7,1.32,1.81,18.84,1.3,0.33,1.5,0.14,0.8,0.05,100,4.95,0.81,0.84,38.64,2.12,0.34,1.97,1.95,15.07,7.27,1.5,2.29,18.15,1.31,0.39,1.66,0.18,0.53,0.03
2024M11,08 Barcelona,100,6.69,2.41,0.94,2.94,1.51,0.76,1.89,1.47,38.6,6.35,0.93,2.53,25.46,1.18,1.01,3.91,0.69,0.59,0.13,100,6.95,2.16,0.9,2.8,1.65,0.79,1.85,1.5,40.39,6.51,0.87,2.82,22.85,1.21,1.24,4.25,0.61,0.51,0.13
2024M11,17 Girona,100,1.65,0.8,0.39,2.92,0.54,0.19,0.53,0.54,79.5,2.81,0.2,0.72,7.71,0.53,0.2,0.6,0.15,0.01,0.01,100,2.52,1.01,0.44,5.02,0.53,0.24,0.49,0.67,74.7,3.15,0.27,1.12,8.09,0.59,0.27,0.73,0.16,0.02,0
2024M11,46 Valencia/València,100,13.62,3.02,0.94,1.96,1.04,0.53,2.91,4.26,10.71,25.84,1.13,2.05,24.58,3.46,0.74,2.31,0.39,0.49,0.03,100,13.6,3.91,1.11,1.46,1.37,0.63,3.37,5.17,8.47,28.03,1.22,2.48,22.11,2.98,0.78,2.17,0.35,0.75,0.01
2024M11,28 Madrid,100,12.98,2.7,2.94,2.8,3.94,2.05,4.8,3.52,14.27,7.94,2.48,5.07,24.18,2.72,1.66,4.45,0.82,0.43,0.23,100,13.77,2.58,2.84,2.74,4.17,2.02,4.37,3.25,13.41,7.72,2.29,5.03,25.63,2.62,1.66,4.59,0.7,0.39,0.21
2024M10,29 Málaga,100,46.23,0.87,0.66,4.87,1.13,0.63,1.74,2.12,9.4,3.75,1.73,2.3,18.69,1.32,0.38,2.31,0.21,0.85,0.78,100,41.14,1.25,1.09,7.81,1.48,0.74,2.42,2.6,8.24,3.57,2.07,2.79,18.54,1.17,0.51,3.15,0.37,0.57,0.49
2024M10,41 Sevilla,100,41.17,1.13,1.11,1.29,2.01,1.33,3.02,2.89,7.44,4.29,3.69,2.36,22.76,1.63,0.77,1.94,0.56,0.53,0.08,100,36.88,1.48,1.51,1.37,2.43,1.7,3.18,2.95,8.31,4.87,3.24,4.07,21.8,1.66,0.85,2.46,0.65,0.51,0.07
2024M10,"07 Balears, Illes",100,5.43,1.39,1.13,37.37,1,0.73,1.41,1.52,12.01,8.14,0.96,5.52,19.35,0.55,0.46,2.44,0.39,0.17,0.05,100,4.63,1.44,1.01,42.49,0.85,0.77,1.31,1.35,10.09,7.55,1.17,8.43,15.25,0.45,0.46,2.19,0.39,0.1,0.08
2024M10,08 Barcelona,100,6.73,2.04,0.66,2.48,1.37,0.54,1.6,1.43,43.78,6.55,0.66,2.58,23.26,1.02,0.95,3.64,0.4,0.17,0.11,100,6.76,2.02,0.67,2.18,1.48,1.3,1.47,1.51,45.84,6.36,0.73,2.69,20.31,0.89,1.32,3.83,0.33,0.17,0.16
2024M10,17 Girona,100,1.79,1.07,0.37,1.95,0.58,0.41,0.75,1.89,79.1,2.83,0.16,0.73,6.15,0.33,0.26,1.5,0.12,0.01,0,100,2.69,1.92,0.73,1.72,0.7,0.64,1.55,4.93,70.17,4.28,0.2,0.99,6.61,0.44,0.37,1.93,0.12,0.01,0
2024M10,46 Valencia/València,100,12.45,2.14,0.77,2.5,1.19,0.68,2.69,3.52,11.93,24.83,0.9,1.87,27.1,3.3,0.74,2.41,0.42,0.56,0.02,100,11.1,2.06,1.77,2.25,1.15,0.8,3.77,3.62,10.52,23.57,1.05,2.55,27.71,3.03,0.88,2.92,0.47,0.76,0.02
