periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext
2024M12,29 Málaga,292142,120096,172046,894297,247630,646667
2024M12,41 Sevilla,291612,154675,136937,584318,281149,303169
2024M12,"07 Balears, Illes",102526,39500,63026,311450,84821,226629
2024M12,08 Barcelona,830151,275949,554202,1900241,485475,1414766
2024M12,17 Girona,152175,91881,60294,252605,149407,103198
2024M12,46 Valencia/València,206102,122489,83613,448045,248618,199427
2024M12,28 Madrid,1058633,606856,451778,2165912,1121901,1044011
2024M11,29 Málaga,364981,139834,225148,1167219,268510,898709
2024M11,41 Sevilla,315397,155648,159749,646013,277439,368575
2024M11,"07 Balears, Illes",121271,39934,81337,407673,78504,329169
2024M11,08 Barcelona,940096,280494,659602,2164179,509485,1654694
2024M11,17 Girona,159482,86908,72574,287231,140844,146387
2024M11,46 Valencia/València,215646,135725,79921,539982,350834,189148
2024M11,28 Madrid,1125101,591976,533125,2275915,1066842,1209073
2024M10,29 Málaga,602045,163918,438127,2188021,356327,1831695
2024M10,41 Sevilla,372127,140343,231784,767363,245055,522307
2024M10,"07 Balears, Illes",1360646,162615,1198031,7041981,511919,6530063
2024M10,08 Barcelona,1218984,300067,918917,3130930,571488,2559442
2024M10,17 Girona,379239,123611,255628,1088327,242572,845755
2024M10,46 Valencia/València,320989,155899,165090,726177,306680,419497
2024M10,28 Madrid,1228195,563246,664949,2522790,1002672,1520119
2024M09,29 Málaga,615514,186539,428976,2336863,480155,1856708
2024M09,41 Sevilla,340661,137532,203128,687662,232368,455294
2024M09,"07 Balears, Illes",1741692,177047,1564645,9364391,652181,8712210
2024M09,08 Barcelona,1197723,277468,920255,3341674,543250,2798425
2024M09,17 Girona,489776,153745,336031,1641945,343494,1298451
2024M09,46 Valencia/València,335805,176016,159789,879306,438150,441156
2024M09,28 Madrid,1170483,536583,633900,2328196,926240,1401956
2024M08,29 Málaga,698256,290347,407909,2767237,940988,1826249
2024M08,41 Sevilla,319596,118028,201569,654582,203090,451492
2024M08,"07 Balears, Illes",2093220,241846,1851374,11414856,999650,10415206
2024M08,08 Barcelona,1340634,262786,1077848,4061207,589496,3471711
2024M08,17 Girona,658624,256450,402174,2408114,742204,1665909
2024M08,46 Valencia/València,389611,201701,187910,1055279,554991,500288
2024M08,28 Madrid,1025471,469667,555803,2037081,830595,1206486
2024M07,29 Málaga,652289,255067,397222,2489865,735271,1754594
2024M07,41 Sevilla,294007,123832,170175,582973,209860,373113
2024M07,"07 Balears, Illes",2022788,213425,1809362,10920167,812025,10108141
2024M07,08 Barcelona,1337967,308503,1029464,3881922,619025,3262897
2024M07,17 Girona,593977,202418,391559,2206406,520798,1685607
2024M07,46 Valencia/València,368825,201781,167045,964054,524939,439115
2024M07,28 Madrid,1173350,575463,597887,2314639,999921,1314718
2024M06,29 Málaga,632616,231637,400979,2246668,540307,1706362
2024M06,41 Sevilla,330565,152373,178192,647282,254756,392525
2024M06,"07 Balears, Illes",1859985,241084,1618901,9474122,857430,8616693
2024M06,08 Barcelona,1291093,322416,968677,3505866,610476,2895390
2024M06,17 Girona,526211,222070,304140,1595040,486792,1108248
2024M06,46 Valencia/València,353802,204226,149576,852471,465913,386558
2024M06,28 Madrid,1189952,598737,591215,2346598,1017104,1329495
2024M05,29 Málaga,652057,197058,454999,2231003,432101,1798902
2024M05,41 Sevilla,383281,156750,226530,775427,266724,508703
2024M05,"07 Balears, Illes",1747086,189989,1557097,8199175,563225,7635950
2024M05,08 Barcelona,1300459,292434,1008025,3434137,587277,2846860
2024M05,17 Girona,490049,168230,321819,1359535,348416,1011118
2024M05,46 Valencia/València,349385,186459,162926,848851,406490,442360
2024M05,28 Madrid,1231218,582493,648725,2490212,1011509,1478703
2024M04,29 Málaga,601631,179976,421655,1945020,386932,1558088
2024M04,41 Sevilla,377242,162581,214661,767023,289950,477073
2024M04,"07 Balears, Illes",761737,111851,649886,3417164,355710,3061453
2024M04,08 Barcelona,1105260,270776,834484,2809542,543198,2266344
2024M04,17 Girona,325500,112923,212577,879409,241003,638406
2024M04,46 Valencia/València,316892,162069,154823,764801,333321,431480
2024M04,28 Madrid,1126754,517185,609568,2301405,903137,1398268
2024M03,29 Málaga,506900,207072,299828,1712594,486039,1226555
2024M03,41 Sevilla,340136,157047,183089,711305,284466,426838
2024M03,"07 Balears, Illes",375281,104550,270731,1677443,304250,1373193
2024M03,08 Barcelona,1026923,290694,736229,2538561,564127,1974434
2024M03,17 Girona,242817,132842,109975,554160,267739,286421
2024M03,46 Valencia/València,327473,189731,137742,773143,402680,370463
2024M03,28 Madrid,1094034,578912,515122,2262645,1042343,1220302
2024M02,29 Málaga,373782,160198,213584,1170897,332350,838547
2024M02,41 Sevilla,294357,144952,149405,588754,246830,341924
2024M02,"07 Balears, Illes",148843,57019,91824,585313,170008,415305
2024M02,08 Barcelona,842121,255670,586451,2085109,484989,1600121
2024M02,17 Girona,146071,77554,68516,274407,125343,149064
2024M02,46 Valencia/València,256943,147544,109399,532714,262125,270590
2024M02,28 Madrid,972927,543763,429164,1920576,941378,979198
2024M01,29 Málaga,308291,128732,179559,899576,235670,663907
2024M01,41 Sevilla,265030,132023,133008,524637,225917,298720
2024M01,"07 Balears, Illes",69271,30560,38711,226867,61386,165481
2024M01,08 Barcelona,744854,231739,513115,1776582,435764,1340817
2024M01,17 Girona,125212,74352,50860,212116,120857,91259
2024M01,46 Valencia/València,223867,126627,97240,452146,221740,230406
2024M01,28 Madrid,895214,490157,405057,1814976,879889,935087
2023M12,29 Málaga,325375,153016,172359,960249,320961,639288
2023M12,41 Sevilla,296784,161030,135754,597988,300382,297606
2023M12,"07 Balears, Illes",87937,34963,52974,270138,72231,197907
2023M12,08 Barcelona,807856,260712,547144,1857414,472811,1384603
2023M12,17 Girona,160939,97216,63723,308760,176705,132056
2023M12,46 Valencia/València,242739,141843,100896,489496,252626,236870
2023M12,28 Madrid,1052428,627019,425410,2126979,1155296,971683
2023M11,29 Málaga,381833,149553,232281,1218526,312401,906125
2023M11,41 Sevilla,290333,145435,144897,587432,261713,325719
2023M11,"07 Balears, Illes",113029,40472,72557,413377,82054,331322
2023M11,08 Barcelona,916429,272902,643526,2139733,492263,1647469
2023M11,17 Girona,150172,76831,73341,304105,130560,173545
2023M11,46 Valencia/València,263959,148640,115319,542245,270731,271515
2023M11,28 Madrid,1064684,583167,481516,2130175,1028629,1101546
2023M10,29 Málaga,623385,192347,431038,2186066,418870,1767196
2023M10,41 Sevilla,364920,161023,203897,723477,278737,444740
2023M10,"07 Balears, Illes",1189276,148089,1041187,6381337,442356,5938981
2023M10,08 Barcelona,1222542,315869,906673,3171014,589710,2581304
2023M10,17 Girona,385596,147501,238094,1076982,266361,810621
2023M10,46 Valencia/València,320136,169872,150264,710956,336173,374783
2023M10,28 Madrid,1125946,526741,599205,2335634,961581,1374053
2023M09,29 Málaga,636614,205859,430755,2302322,512787,1789535
2023M09,41 Sevilla,337835,153142,184693,667277,254620,412657
2023M09,"07 Balears, Illes",1691128,176703,1514425,9058858,652248,8406610
2023M09,08 Barcelona,1216170,290347,925823,3349029,555333,2793696
2023M09,17 Girona,496403,181503,314900,1582302,380955,1201347
2023M09,46 Valencia/València,327939,176910,151029,799324,417289,382035
2023M09,28 Madrid,1148967,562876,586090,2301663,989249,1312414
2023M08,29 Málaga,719761,310534,409226,2804728,955822,1848907
2023M08,41 Sevilla,323252,139187,184065,641777,236241,405536
2023M08,"07 Balears, Illes",1979182,239946,1739237,11054556,1043279,10011278
2023M08,08 Barcelona,1311861,280876,1030985,4026789,649993,3376797
2023M08,17 Girona,636179,264027,372153,2335305,789014,1546291
2023M08,46 Valencia/València,369580,199350,170230,1017753,552250,465503
2023M08,28 Madrid,1007541,474758,532784,1990751,845787,1144964
2023M07,29 Málaga,689693,303567,386126,2569254,827761,1741493
2023M07,41 Sevilla,297598,144052,153546,557786,227117,330669
2023M07,"07 Balears, Illes",1972703,237710,1734992,10613015,974544,9638472
2023M07,08 Barcelona,1342584,337404,1005179,3835022,694572,3140450
2023M07,17 Girona,590663,227893,362769,2099009,591426,1507584
2023M07,46 Valencia/València,349183,195406,153777,932056,515682,416375
2023M07,28 Madrid,1111137,548761,562376,2189610,936220,1253390
2023M06,29 Málaga,618969,246981,371988,2222614,595536,1627078
2023M06,41 Sevilla,325922,163255,162667,618585,264895,353690
2023M06,"07 Balears, Illes",1814007,244635,1569372,8993003,889859,8103144
2023M06,08 Barcelona,1263049,330907,932142,3300032,632369,2667663
2023M06,17 Girona,514135,239930,274205,1490213,485185,1005028
2023M06,46 Valencia/València,352828,212128,140700,823690,471584,352106
2023M06,28 Madrid,1163021,615801,547220,2239681,1010384,1229297
2023M05,29 Málaga,624905,183084,441821,2152554,405516,1747038
2023M05,41 Sevilla,352514,167518,184996,692027,281827,410200
2023M05,"07 Balears, Illes",1492772,195761,1297010,7258921,644969,6613952
2023M05,08 Barcelona,1251693,339829,911864,3187797,649336,2538461
2023M05,17 Girona,443609,146828,296780,1217666,294462,923204
2023M05,46 Valencia/València,326274,178828,147446,750754,383981,366773
2023M05,28 Madrid,1117578,567796,549782,2224662,951054,1273608
2023M04,29 Málaga,601632,211742,389890,1965338,500061,1465277
2023M04,41 Sevilla,351424,168951,182473,726702,313102,413601
2023M04,"07 Balears, Illes",766096,109541,656555,3350022,297000,3053023
2023M04,08 Barcelona,1102659,298082,804577,2882769,616293,2266476
2023M04,17 Girona,414955,192039,222915,1037458,385678,651780
2023M04,46 Valencia/València,333301,194351,138949,792604,426191,366413
2023M04,28 Madrid,1077543,566092,511451,2247895,1028904,1218991
2023M03,29 Málaga,463698,200193,263505,1368261,425355,942906
2023M03,41 Sevilla,314817,166958,147858,643519,307168,336351
2023M03,"07 Balears, Illes",230407,62568,167839,944911,173879,771032
2023M03,08 Barcelona,953261,312242,641018,2347803,603748,1744055
2023M03,17 Girona,187875,100350,87525,415967,190360,225607
2023M03,46 Valencia/València,305012,189978,115034,662350,380411,281939
2023M03,28 Madrid,1053885,582240,471645,2040209,975377,1064832
2023M02,29 Málaga,313400,151277,162123,928384,304848,623536
2023M02,41 Sevilla,268601,155381,113220,526552,264978,261574
2023M02,"07 Balears, Illes",124782,51577,73205,466420,140170,326250
2023M02,08 Barcelona,768787,252316,516471,1951571,487297,1464273
2023M02,17 Girona,145938,84001,61937,290680,145810,144870
2023M02,46 Valencia/València,229187,140086,89102,464102,246297,217805
2023M02,28 Madrid,879144,523275,355868,1705884,903932,801952
2023M01,29 Málaga,264643,117089,147553,759798,234979,524819
2023M01,41 Sevilla,244929,135802,109127,481877,236477,245400
2023M01,"07 Balears, Illes",75909,35443,40466,237815,85942,151873
2023M01,08 Barcelona,707279,249509,457770,1703654,462121,1241533
2023M01,17 Girona,122352,77001,45351,240467,138992,101475
2023M01,46 Valencia/València,217225,130482,86743,428678,226343,202335
2023M01,28 Madrid,888093,532766,355327,1736647,920267,816381
2022M12,29 Málaga,284226,150406,133820,780093,325403,454689
2022M12,41 Sevilla,242998,142195,100802,484304,261724,222580
2022M12,"07 Balears, Illes",80696,35980,44716,248269,80586,167682
2022M12,08 Barcelona,743057,264577,478479,1761045,498284,1262761
2022M12,17 Girona,155444,101790,53654,298209,189849,108360
2022M12,46 Valencia/València,224864,140763,84102,473440,257729,215711
2022M12,28 Madrid,967750,620080,347670,1903855,1111786,792069
2022M11,29 Málaga,304416,144414,160002,951880,312872,639008
2022M11,41 Sevilla,271748,159021,112726,560705,293812,266893
2022M11,"07 Balears, Illes",111194,44337,66857,398085,97922,300163
2022M11,08 Barcelona,822356,267015,555341,1993005,508819,1484186
2022M11,17 Girona,139248,75232,64016,283568,130250,153317
2022M11,46 Valencia/València,248390,148180,100210,513506,275285,238221
2022M11,28 Madrid,1004095,593671,410424,1932711,991945,940766
2022M10,29 Málaga,539765,183271,356494,1914915,409627,1505288
2022M10,41 Sevilla,330034,163745,166288,663795,295621,368174
2022M10,"07 Balears, Illes",1072128,167105,905023,5604472,419017,5185455
2022M10,08 Barcelona,1154049,316090,837958,2922521,607951,2314570
2022M10,17 Girona,351089,148190,202899,874310,253035,621275
2022M10,46 Valencia/València,305025,165661,139364,669537,320077,349460
2022M10,28 Madrid,1104026,582487,521538,2242371,1012992,1229379
2022M09,29 Málaga,620194,224895,395299,2155199,572890,1582309
2022M09,41 Sevilla,324963,164561,160402,635577,278099,357478
2022M09,"07 Balears, Illes",1618513,187516,1430997,8678063,687086,7990977
2022M09,08 Barcelona,1141853,296716,845137,3078699,596473,2482226
2022M09,17 Girona,453933,176025,277909,1377674,372824,1004850
2022M09,46 Valencia/València,319325,181953,137372,807766,425714,382052
2022M09,28 Madrid,1048624,550019,498605,2066264,932436,1133828
